#{"t_start": 1784439046.130854, "env_id": "Reacher-v5"}
r,l,t
-49.158133,50,20.871141
-39.286502,50,20.901607
-47.614174,50,23.093567
-43.84658,50,23.123939
-52.728352,50,23.154145
-45.804422,50,23.184117
-36.053419,50,23.215595
-49.699019,50,23.409967
-43.504022,50,23.44029
-52.036,50,23.471416
-41.885051,50,23.503469
-44.528566,50,23.533879
-45.72377,50,23.564814
-42.806261,50,23.596197
-43.661833,50,23.626827
-55.46202,50,23.657815
-48.536394,50,23.688537
-46.934506,50,23.720385
-39.026794,50,23.753082
-40.202427,50,23.784239
-49.63701,50,23.815965
-46.661143,50,23.846561
-48.762714,50,23.877231
-46.358133,50,23.908994
-46.540042,50,23.939437
-55.251689,50,23.970203
-40.178856,50,24.001624
-40.811039,50,24.032363
-52.9303,50,24.063157
-51.933982,50,24.093503
-45.500947,50,24.125151
-40.874934,50,24.156132
-44.299884,50,24.186392
-47.777242,50,24.218054
-37.641193,50,24.248726
-48.210775,50,24.279226
-54.737466,50,24.310696
-48.243502,50,24.341375
-47.779959,50,24.372511
-42.421633,50,24.404442
-44.632148,50,24.434858
-44.376403,50,24.465694
-47.453603,50,24.496144
-39.012841,50,26.806566
-46.051903,50,26.838183
-48.559568,50,26.868911
-35.491168,50,26.899618
-45.123461,50,26.929729
-52.481609,50,26.961472
-43.003107,50,26.992436
-47.14651,50,27.023037
-47.208668,50,27.054565
-41.208738,50,27.085034
-41.542115,50,27.115902
-48.192604,50,27.147772
-42.210308,50,27.178127
-47.473145,50,27.209158
-44.475664,50,27.403994
-38.27292,50,27.434747
-48.631667,50,27.466513
-49.430896,50,27.49758
-43.048941,50,27.528316
-48.170085,50,27.559885
-46.25288,50,27.590966
-44.225731,50,27.621479
-52.064568,50,27.653057
-41.832336,50,27.683518
-39.763625,50,27.714146
-42.131383,50,27.745559
-45.529626,50,27.775882
-45.298353,50,27.807294
-46.539868,50,27.83804
-43.001861,50,27.869674
-46.427134,50,27.900797
-45.110675,50,27.932618
-45.243838,50,27.964328
-38.873278,50,27.995342
-50.648977,50,28.025836
-47.545504,50,28.05736
-46.324527,50,28.088227
-44.78167,50,28.11944
-42.05103,50,28.151202
-50.794283,50,28.181603
-35.729933,50,28.212623
-41.603436,50,30.516464
-37.15674,50,30.546959
-36.255949,50,30.578395
-39.757695,50,30.608626
-41.780231,50,30.638991
-34.556597,50,30.669191
-34.337274,50,30.700317
-35.707192,50,30.731507
-40.145127,50,30.761913
-39.309068,50,30.793222
-42.593994,50,30.823626
-40.593277,50,30.854634
-35.674547,50,30.886356
-38.698019,50,30.916848
-43.589748,50,30.947501
-38.402143,50,30.977751
-45.804996,50,31.009134
-40.502528,50,31.039928
-38.860387,50,31.070131
-49.426286,50,31.101417
-43.783427,50,31.132419
-39.397188,50,31.16284
-31.501582,50,31.194175
-33.352439,50,31.389582
-34.252175,50,31.420481
-42.617483,50,31.450916
-39.718083,50,31.481376
-35.939709,50,31.513205
-32.756637,50,31.544097
-44.252259,50,31.574762
-38.99803,50,31.60657
-39.163993,50,31.637553
-41.198966,50,31.668084
-44.256426,50,31.699835
-38.314805,50,31.730571
-41.424738,50,31.761235
-40.669469,50,31.79315
-43.859961,50,31.823764
-45.742925,50,31.855012
-38.185359,50,31.88571
-48.560213,50,31.917274
-41.232961,50,34.212689
-35.366915,50,34.244085
-36.1091,50,34.274731
-37.232452,50,34.305158
-38.073704,50,34.336254
-43.27985,50,34.366297
-31.256838,50,34.396755
-39.892826,50,34.428151
-40.511835,50,34.45895
-40.163581,50,34.489908
-33.64174,50,34.520277
-42.824365,50,34.551632
-42.470478,50,34.58274
-43.864994,50,34.615559
-39.394757,50,34.650817
-38.14373,50,34.685542
-43.010497,50,34.718032
-47.164028,50,34.749992
-35.480094,50,34.781157
-37.309064,50,34.811844
-40.826107,50,34.843388
-41.741033,50,34.874188
-38.526008,50,34.904618
-37.901458,50,34.936059
-39.663994,50,34.966418
-40.781946,50,34.997912
-40.437772,50,35.032849
-32.715107,50,35.067357
-38.193999,50,35.102289
-36.659092,50,35.139578
-29.470788,50,35.17571
-42.183977,50,35.212421
-39.844156,50,35.450246
-41.336228,50,35.488916
-38.777883,50,35.526023
-47.321931,50,35.565744
-37.375642,50,35.605283
-39.752324,50,35.644759
-39.913285,50,35.684359
-41.992135,50,35.722199
-38.783939,50,35.760684
-36.7478,50,38.062732
-32.241045,50,38.093704
-36.728422,50,38.123544
-24.662336,50,38.153677
-34.809259,50,38.185593
-36.636382,50,38.216328
-41.057376,50,38.246322
-32.752041,50,38.277286
-33.998801,50,38.307817
-32.898309,50,38.337926
-40.636252,50,38.368354
-37.446094,50,38.399847
-36.140448,50,38.430399
-32.678337,50,38.460418
-29.333097,50,38.491648
-35.766819,50,38.522332
-39.68903,50,38.552633
-41.521121,50,38.583554
-35.257717,50,38.614168
-26.441355,50,38.644575
-32.941318,50,38.675884
-34.877659,50,38.706324
-32.205381,50,38.736456
-38.703529,50,38.766864
-36.162535,50,38.797821
-35.776089,50,38.828727
-36.895929,50,38.859012
-32.867061,50,38.890125
-38.970117,50,38.920755
-38.039484,50,38.95141
-39.008462,50,38.982565
-39.419216,50,39.012845
-33.240531,50,39.042695
-36.944522,50,39.072945
-32.345051,50,39.104108
-30.842295,50,39.134483
-32.63292,50,39.16473
-45.94678,50,39.195933
-33.130525,50,39.226297
-38.389569,50,39.262085
-34.771982,50,39.293606
-35.224913,50,41.718269
-36.066831,50,41.748727
-41.016425,50,41.778808
-31.267715,50,41.808759
-31.681218,50,41.839775
-32.766723,50,41.870287
-31.987488,50,41.900289
-26.866959,50,41.931643
-36.229818,50,41.962137
-36.266206,50,41.992316
-35.828574,50,42.023709
-28.93553,50,42.053952
-33.65137,50,42.084594
