#{"t_start": 1784439046.1289399, "env_id": "Reacher-v5"}
r,l,t
-60.803933,50,0.910238
-62.23189,50,0.942742
-58.990097,50,0.973054
-57.819269,50,1.003979
-60.459333,50,1.035677
-57.522151,50,1.066261
-62.183108,50,1.09734
-63.625601,50,1.128208
-59.003628,50,1.160172
-61.248337,50,1.190976
-58.721018,50,1.2219
-62.303978,50,1.253392
-57.959931,50,1.284768
-70.284097,50,1.315269
-68.070479,50,1.346766
-57.132295,50,1.37712
-59.443139,50,1.407532
-61.15466,50,1.43951
-56.340263,50,1.469851
-66.012093,50,1.500295
-58.597633,50,1.531518
-67.411314,50,1.562947
-59.379061,50,1.593405
-59.259951,50,1.624403
-52.646674,50,1.655705
-62.70274,50,1.686316
-63.710658,50,1.717149
-67.023231,50,1.749078
-62.010569,50,1.779546
-57.343885,50,1.810232
-56.792467,50,1.840435
-49.595564,50,1.871901
-57.954749,50,1.902314
-59.295314,50,1.933104
-66.811229,50,1.963932
-55.899482,50,1.994027
-58.915083,50,2.024399
-64.118795,50,2.05586
-66.286771,50,2.086828
-62.457817,50,2.117533
-62.211719,50,4.705668
-57.353924,50,4.739372
-57.462135,50,4.774128
-61.903272,50,4.810037
-62.274557,50,4.841894
-52.955063,50,4.872942
-61.897065,50,4.905257
-69.11603,50,4.935909
-66.367549,50,4.966335
-59.087672,50,4.997388
-58.626857,50,5.198417
-62.826523,50,5.228968
-62.332024,50,5.259161
-64.635016,50,5.290746
-53.178343,50,5.321326
-56.955174,50,5.351971
-60.643822,50,5.382695
-56.29549,50,5.414412
-58.423003,50,5.444567
-67.305351,50,5.47472
-58.369977,50,5.506569
-64.55777,50,5.537188
-63.97425,50,5.568133
-58.963137,50,5.600302
-49.251231,50,5.631137
-58.575994,50,5.662117
-55.715791,50,5.693537
-61.33254,50,5.723696
-54.692221,50,5.754188
-62.739439,50,5.784647
-61.587902,50,5.81627
-55.755781,50,5.846993
-56.230548,50,5.877692
-63.98179,50,5.90947
-57.7421,50,5.940468
-58.391824,50,5.971044
-45.103921,50,6.002438
-66.00354,50,6.032907
-62.305254,50,6.063677
-48.455407,50,6.095875
-60.892301,50,6.12769
-52.735561,50,8.368362
-54.729723,50,8.399884
-50.289851,50,8.435302
-55.11792,50,8.470618
-48.661738,50,8.506577
-61.604373,50,8.539138
-53.994954,50,8.570492
-52.617225,50,8.601308
-63.308708,50,8.63371
-57.881408,50,8.664674
-53.135728,50,8.695858
-59.333833,50,8.731197
-55.573052,50,8.765648
-61.421579,50,8.805906
-51.598115,50,8.846497
-56.546465,50,8.886512
-57.661934,50,8.930057
-44.082775,50,8.971311
-55.805375,50,9.012721
-56.613112,50,9.304482
-55.674996,50,9.350039
-61.468893,50,9.397007
-56.834235,50,9.444724
-62.086966,50,9.491322
-62.187151,50,9.53834
-58.477553,50,9.578138
-54.606407,50,9.615212
-57.727396,50,9.652139
-58.252456,50,9.686291
-58.009498,50,9.720732
-60.681025,50,9.755171
-59.667599,50,9.787435
-55.733944,50,9.819527
-64.692578,50,9.852011
-54.305996,50,9.883225
-63.58431,50,9.914872
-55.341772,50,9.947269
-56.548815,50,9.978603
-58.151519,50,10.013557
-54.755205,50,10.051819
-64.054017,50,10.084383
-53.520426,50,12.321317
-52.569266,50,12.352072
-54.34004,50,12.384006
-52.930782,50,12.414652
-52.616129,50,12.445229
-59.360462,50,12.476953
-57.085271,50,12.507473
-44.845317,50,12.538265
-60.132053,50,12.568905
-57.481497,50,12.60143
-55.297945,50,12.632851
-42.244001,50,12.663567
-55.910828,50,12.69553
-52.982286,50,12.726111
-43.699764,50,12.757034
-66.457542,50,12.788425
-50.515146,50,12.819015
-53.829409,50,12.850025
-47.252243,50,12.881829
-55.566587,50,12.912745
-56.184708,50,12.943942
-49.769182,50,12.975903
-59.061318,50,13.006631
-58.009659,50,13.037873
-55.453836,50,13.068538
-50.446726,50,13.100862
-57.921501,50,13.131991
-52.620465,50,13.162833
-62.808621,50,13.359293
-49.773514,50,13.391631
-56.503188,50,13.422268
-55.894207,50,13.453305
-55.451588,50,13.485012
-64.308534,50,13.515788
-56.530937,50,13.546968
-60.069601,50,13.577906
-56.671378,50,13.609864
-55.341928,50,13.641004
-39.293555,50,13.671906
-54.414756,50,13.704214
-56.825995,50,13.735581
-56.149441,50,16.04133
-53.981382,50,16.072031
-52.953925,50,16.102692
-57.163117,50,16.13444
-54.568087,50,16.165013
-53.720361,50,16.196005
-58.216912,50,16.227558
-56.811157,50,16.258323
-47.125514,50,16.289764
-49.682071,50,16.32144
-50.996519,50,16.351048
-54.353785,50,16.382056
-47.722427,50,16.411984
-50.46775,50,16.443604
-52.391191,50,16.474536
-45.726162,50,16.504874
-51.070344,50,16.536408
-44.184935,50,16.566913
-48.609106,50,16.597712
-57.755215,50,16.629382
-49.511239,50,16.660145
-49.828809,50,16.691147
-56.446066,50,16.723188
-51.60864,50,16.753135
-50.54506,50,16.782222
-42.419061,50,16.811933
-54.0465,50,16.843196
-57.184636,50,16.874301
-46.881073,50,16.904422
-71.508289,50,16.935706
-49.047268,50,16.966264
-50.346269,50,16.997143
-45.653472,50,17.02883
-49.337767,50,17.059531
-49.313488,50,17.090558
-52.81895,50,17.121161
-54.259262,50,17.152641
-51.923622,50,17.349564
-53.327117,50,17.38208
-55.378361,50,17.413147
-54.187274,50,17.4452
-48.251655,50,19.66537
-44.833465,50,19.696091
-43.539813,50,19.727031
-44.129658,50,19.758865
-53.913085,50,19.790172
-43.029184,50,19.821489
-51.916953,50,19.851851
-49.228599,50,19.883411
-43.424185,50,19.915817
-56.100752,50,19.947186
-45.120417,50,19.978793
-50.510605,50,20.009563
-39.781129,50,20.040063
-43.704961,50,20.071452
-41.668932,50,20.101966
-48.784103,50,20.13242
-45.426461,50,20.163737
-44.189797,50,20.193987
-46.298974,50,20.226084
-51.377761,50,20.256614
-53.540903,50,20.288586
-48.874183,50,20.319982
-53.935194,50,20.350115
-50.17878,50,20.381397
-45.746174,50,20.412178
-61.089241,50,20.442233
-45.719824,50,20.473334
-50.427978,50,20.503582
-40.873618,50,20.534262
-43.352767,50,20.565442
-40.83365,50,20.595854
-53.175432,50,20.626803
-44.268399,50,20.656963
-45.303299,50,20.68842
-47.78453,50,20.719175
-48.797366,50,20.749498
-54.722404,50,20.780747
-50.864472,50,20.811385
-54.358128,50,20.841679
-47.626762,50,20.872951
-42.577017,50,20.903415
-51.208859,50,23.09534
-45.679163,50,23.125734
-47.245405,50,23.155949
-46.79828,50,23.185905
-47.206022,50,23.217385
-40.089741,50,23.411742
-50.927146,50,23.4421
-40.353384,50,23.4732
-44.432076,50,23.505266
-45.634714,50,23.535666
-45.970249,50,23.566586
-45.437693,50,23.597984
-45.582487,50,23.628601
-47.374154,50,23.659582
-46.567503,50,23.690322
-43.580362,50,23.722159
-44.561479,50,23.754863
-41.667992,50,23.786018
-39.003053,50,23.817752
-35.209292,50,23.848356
-41.286607,50,23.879006
-43.489859,50,23.910771
-45.17126,50,23.941246
