#{"t_start": 1784439046.132723, "env_id": "Reacher-v5"}
r,l,t
-63.381587,50,0.906713
-59.701462,50,0.939186
-69.972907,50,0.969497
-58.789434,50,1.000407
-61.369171,50,1.032269
-65.717178,50,1.062665
-66.892179,50,1.093777
-59.660779,50,1.124647
-52.721643,50,1.156594
-62.106828,50,1.187405
-55.758429,50,1.218327
-53.809106,50,1.249816
-65.348215,50,1.281229
-71.072591,50,1.311708
-64.586486,50,1.343193
-57.961165,50,1.373557
-59.2292,50,1.404003
-62.992945,50,1.435946
-60.696309,50,1.46629
-62.802443,50,1.496706
-63.641001,50,1.527976
-63.994569,50,1.559379
-65.099428,50,1.58985
-57.873379,50,1.620842
-63.765981,50,1.652124
-56.245869,50,1.682741
-61.917196,50,1.7136
-65.983027,50,1.745494
-64.121275,50,1.775984
-54.846132,50,1.806685
-60.300975,50,1.83686
-56.447735,50,1.868322
-62.649577,50,1.898726
-64.32114,50,1.929534
-58.866628,50,1.960352
-69.976923,50,1.990449
-62.481117,50,2.020833
-54.778349,50,2.052298
-56.624799,50,2.08325
-58.291785,50,2.113992
-65.824105,50,4.702239
-56.170208,50,4.735825
-59.823332,50,4.770603
-55.647545,50,4.806523
-63.317838,50,4.838318
-55.612017,50,4.869358
-66.323129,50,4.901681
-60.950154,50,4.932342
-68.988242,50,4.962737
-64.051091,50,4.993888
-64.46844,50,5.194851
-61.353688,50,5.225421
-65.277454,50,5.255603
-58.671813,50,5.287153
-56.249534,50,5.317735
-49.361355,50,5.348402
-61.949304,50,5.379133
-52.114445,50,5.410818
-55.795471,50,5.440989
-55.096112,50,5.471127
-67.448608,50,5.502995
-66.887038,50,5.533603
-62.656788,50,5.564613
-61.218184,50,5.59674
-57.810539,50,5.627555
-64.168743,50,5.658619
-57.911984,50,5.689959
-59.011485,50,5.720122
-50.980305,50,5.750633
-56.760504,50,5.781074
-54.78375,50,5.812705
-58.633078,50,5.843444
-58.844069,50,5.874125
-59.293906,50,5.905958
-54.846936,50,5.936888
-59.064753,50,5.967474
-58.752745,50,5.998872
-66.260706,50,6.02933
-62.977593,50,6.060135
-57.345995,50,6.092301
-55.566098,50,6.124143
-52.340616,50,8.364814
-53.822665,50,8.396334
-66.334031,50,8.431796
-62.645167,50,8.46719
-61.859927,50,8.503026
