#{"t_start": 1784439046.1345925, "env_id": "Reacher-v5"}
r,l,t
-69.219546,50,0.904937
-62.639696,50,0.937405
-64.566675,50,0.967715
-61.804933,50,0.998615
-55.215122,50,1.030515
-54.223487,50,1.060879
-63.870595,50,1.091988
-68.855256,50,1.122855
-56.474892,50,1.154809
-59.32403,50,1.185621
-66.512607,50,1.216536
-58.622763,50,1.24803
-62.81096,50,1.279466
-66.975689,50,1.309918
-56.233201,50,1.341398
-65.135327,50,1.371768
-62.945117,50,1.402215
-58.451744,50,1.434154
-48.313132,50,1.464501
-57.304985,50,1.494914
-67.095127,50,1.526191
-67.928929,50,1.557592
-54.553037,50,1.588067
-62.616085,50,1.619059
-58.64058,50,1.650334
-61.495557,50,1.680948
-51.431103,50,1.71181
-59.80846,50,1.743702
-61.760451,50,1.774194
-56.60942,50,1.804923
-63.638072,50,1.835079
-64.450765,50,1.866531
-63.798233,50,1.896943
-60.299278,50,1.927753
-58.47991,50,1.958557
-57.018635,50,1.98867
-66.545038,50,2.019051
-61.861237,50,2.050553
-53.294407,50,2.081458
-56.216767,50,2.112206
-57.878119,50,4.700466
-64.842483,50,4.734049
-64.873523,50,4.768826
-67.738664,50,4.80476
-56.719584,50,4.836543
-61.460984,50,4.867578
-58.710612,50,4.899891
-62.846906,50,4.930554
-65.719748,50,4.960961
-52.970308,50,4.992137
-58.75077,50,5.193077
-66.907628,50,5.223635
-58.164397,50,5.253813
-61.411978,50,5.285363
-55.199126,50,5.315949
-59.647502,50,5.346614
-53.063111,50,5.377359
-58.565183,50,5.409025
-60.332794,50,5.439201
-55.605154,50,5.469343
-65.38954,50,5.501218
-58.391759,50,5.531837
-63.663475,50,5.562854
-66.064632,50,5.594962
-52.142964,50,5.625763
-61.408056,50,5.656842
-60.571216,50,5.688172
-60.675051,50,5.718334
-66.187247,50,5.748845
-64.064743,50,5.779299
-59.961033,50,5.810914
-54.970832,50,5.841656
-58.011152,50,5.872342
-57.481581,50,5.904176
-63.930346,50,5.935106
-55.728564,50,5.965687
-61.782881,50,5.997106
-55.795585,50,6.027547
-58.43305,50,6.058343
-62.281494,50,6.090509
-59.962911,50,6.122354
-58.830399,50,8.363024
-53.139818,50,8.39455
-57.93604,50,8.430016
-59.668124,50,8.465434
-58.93331,50,8.501231
-57.851153,50,8.533796
-58.203783,50,8.565165
-53.058832,50,8.59604
-66.515329,50,8.628369
-61.730337,50,8.659325
-58.208042,50,8.690584
-56.089195,50,8.725877
-61.239814,50,8.760349
-62.912205,50,8.800672
-58.596461,50,8.841222
-58.817234,50,8.881379
-62.561409,50,8.924799
-50.708446,50,8.966094
-52.768229,50,9.007513
-55.026786,50,9.299277
-50.757986,50,9.344937
-61.134587,50,9.391824
-54.152201,50,9.439495
-49.796105,50,9.486212
-58.450424,50,9.533106
-64.248815,50,9.57289
-55.775241,50,9.609947
-52.98808,50,9.646857
-67.314717,50,9.680993
-52.074005,50,9.715454
-60.040472,50,9.749865
-55.762413,50,9.782101
-52.210889,50,9.814214
-63.824598,50,9.846668
-59.054926,50,9.877856
-62.513351,50,9.909542
-57.896151,50,9.941958
-53.816918,50,9.97328
-65.707861,50,10.008307
-60.415085,50,10.046498
-47.940854,50,10.079145
-61.90437,50,12.316074
-52.885977,50,12.346716
-55.250222,50,12.378655
-63.421712,50,12.409312
-51.856654,50,12.439881
-59.677704,50,12.471587
-65.948341,50,12.502114
-61.34274,50,12.532921
-62.83765,50,12.563567
-54.802103,50,12.596065
