#{"t_start": 1784446208.7257593, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-60.194792,50,0.840946
-68.463073,50,0.873183
-64.929371,50,0.903111
-59.370557,50,0.933516
-60.010763,50,0.9637
-65.041908,50,0.995326
-53.961059,50,1.025956
-62.978095,50,1.056057
-53.205724,50,1.087167
-68.810863,50,1.11776
-57.462887,50,1.869754
-67.500899,50,1.901016
-62.691281,50,1.931311
-62.354228,50,1.961594
-65.22422,50,1.993116
-67.755119,50,2.023623
-58.153366,50,2.054461
-60.299218,50,2.086262
-56.534545,50,2.117032
-52.490896,50,2.14764
-58.687352,50,2.705775
-52.056377,50,2.736151
-58.578397,50,2.766762
-63.082006,50,2.798123
-55.587895,50,2.82861
-64.027588,50,2.859284
-59.868604,50,2.895208
-60.885767,50,2.925226
-55.316262,50,2.95612
-56.760006,50,2.986573
-60.159356,50,3.540005
-51.642061,50,3.570872
-59.849053,50,3.602612
-60.416201,50,3.633432
-52.588342,50,3.664608
-59.70215,50,3.695506
-59.262892,50,3.727394
-54.257437,50,3.758619
-59.039647,50,3.789453
-59.226391,50,3.821172
-56.013588,50,4.371978
-53.65987,50,4.402543
-59.430136,50,4.434016
-52.712225,50,4.464292
-61.129105,50,4.494678
-63.268951,50,4.526287
-64.424348,50,4.557219
-61.553699,50,4.587642
-66.088918,50,4.618833
-56.082919,50,4.64957
-52.662565,50,4.680745
-52.805699,50,5.233284
-56.365498,50,5.264385
-54.998062,50,5.295566
-58.730102,50,5.326905
-53.372927,50,5.357739
-54.976126,50,5.388219
-56.625271,50,5.419874
-53.184966,50,5.450724
-56.170979,50,5.480643
-58.102978,50,5.511187
-61.414452,50,6.06829
-59.754886,50,6.098923
-50.727716,50,6.130735
-53.805947,50,6.161369
-52.557091,50,6.192357
-51.596152,50,6.223005
-47.393881,50,6.254538
-54.108086,50,6.285528
-47.75651,50,6.316582
-53.284318,50,6.348037
-58.838364,50,6.903299
-51.961818,50,6.933849
-40.03162,50,6.965514
-55.878216,50,6.99632
-46.633067,50,7.027025
-46.573025,50,7.059201
-45.96637,50,7.090592
-58.494891,50,7.122086
-52.532303,50,7.153886
-48.72935,50,7.18419
-44.467376,50,7.739769
-47.222877,50,7.771604
-40.012588,50,7.804121
-40.270794,50,7.835031
-49.016163,50,7.867117
-46.593545,50,7.898339
-54.341933,50,7.929187
-39.259959,50,7.960906
-55.833521,50,7.991298
-44.282841,50,8.022043
-52.762903,50,8.053805
-43.336038,50,8.602385
-44.247026,50,8.633397
-41.562632,50,8.665628
-46.849346,50,8.697049
-50.924716,50,8.727751
-44.205419,50,8.7601
-39.083891,50,8.79116
-39.569678,50,8.822106
-50.724692,50,8.852718
-42.06732,50,8.884305
-35.270977,50,9.439397
-40.518129,50,9.471239
-40.587429,50,9.502549
-43.045518,50,9.532266
-42.744161,50,9.563075
-44.204346,50,9.593404
-45.888489,50,9.62394
-41.880016,50,9.65491
-41.13378,50,9.687534
-36.993039,50,9.718803
-36.234132,50,10.277207
-35.397678,50,10.308229
-39.079135,50,10.338769
-31.249653,50,10.369632
-38.038805,50,10.401818
-38.94258,50,10.434071
-36.668982,50,10.465242
-40.669189,50,10.497119
-35.164315,50,10.528017
-35.528505,50,10.55915
-38.917991,50,11.130127
-34.50136,50,11.161158
-35.042369,50,11.192769
-36.851092,50,11.223253
-40.282007,50,11.254377
-41.177818,50,11.286195
-35.317337,50,11.317402
-33.731018,50,11.348375
-32.782405,50,11.379383
-34.119296,50,11.411899
-36.88825,50,11.442463
-32.448151,50,11.997559
-33.053394,50,12.028208
-25.149564,50,12.059348
-31.393359,50,12.090618
-31.130125,50,12.12144
-37.89464,50,12.152479
-25.301488,50,12.183085
-30.010196,50,12.214801
-29.822782,50,12.245775
-30.824201,50,12.276245
-21.656419,50,12.833185
-30.582479,50,12.863734
-32.662206,50,12.894287
-30.181677,50,12.925857
-22.613541,50,12.956822
-28.377083,50,12.987942
-23.997813,50,13.019574
-28.603432,50,13.05072
-28.225175,50,13.08154
-25.930364,50,13.113889
-31.464369,50,13.672179
-22.995834,50,13.704594
-29.674214,50,13.736918
-23.75258,50,13.768478
-28.844555,50,13.80031
-25.308189,50,13.832295
-26.63951,50,13.86313
-24.692897,50,13.894143
-27.983606,50,13.925912
-27.931273,50,13.95695
-24.177216,50,14.508934
-24.84938,50,14.541052
-24.281152,50,14.572634
-22.916966,50,14.603878
-23.859147,50,14.635743
-22.7553,50,14.666832
-21.431054,50,14.698236
-20.805067,50,14.730116
-23.317486,50,14.760823
-22.978464,50,14.792001
-23.669738,50,14.823755
-22.818561,50,15.382502
-21.295964,50,15.413456
-23.175664,50,15.445549
-18.261775,50,15.476983
-23.290115,50,15.507831
-24.470178,50,15.540081
-23.892861,50,15.570488
-24.424565,50,15.601562
-25.51932,50,15.634138
-28.084608,50,15.665068
-21.296979,50,16.230606
-22.457003,50,16.26275
-19.572923,50,16.294386
-29.009944,50,16.325809
-24.248225,50,16.357927
-13.303375,50,16.389397
-19.274964,50,16.421097
-14.897021,50,16.452944
-25.882728,50,16.484172
-24.285842,50,16.514985
-21.454781,50,17.082641
-17.793555,50,17.11347
-16.998504,50,17.144163
-22.74986,50,17.175905
-21.571639,50,17.206679
-20.433277,50,17.237685
-22.865321,50,17.269693
-17.328656,50,17.300452
-21.100365,50,17.332248
-18.481738,50,17.364228
-22.818211,50,17.936911
-15.466662,50,17.969141
-18.786232,50,18.000081
-15.070597,50,18.031518
-16.483157,50,18.063566
-19.037438,50,18.094088
-15.919528,50,18.125265
-18.367125,50,18.156114
-21.98433,50,18.187923
-18.346554,50,18.218795
-18.363194,50,18.249664
-18.58052,50,18.823276
-20.164035,50,18.854104
-20.102206,50,18.886023
-19.904154,50,18.917784
-15.355308,50,18.950346
-14.569747,50,18.982659
-18.191159,50,19.014118
-19.79852,50,19.045112
-15.253591,50,19.077184
-17.871357,50,19.108107
-16.119886,50,19.669039
-20.235686,50,19.701733
-17.949889,50,19.733347
-13.32644,50,19.764324
-17.797887,50,19.796123
-16.938876,50,19.827673
-17.219475,50,19.858788
-16.014463,50,19.890601
-19.987345,50,19.921464
-23.816497,50,19.952867
-22.447962,50,20.513052
-15.064969,50,20.543925
-12.33127,50,20.575009
-20.065918,50,20.607308
-12.283897,50,20.638368
-22.084974,50,20.669734
-13.674694,50,20.7021
-18.661981,50,20.733207
-15.562343,50,20.76454
-19.584443,50,20.796858
-20.967648,50,21.361499
-18.159809,50,21.393527
-16.300864,50,21.424622
-16.165654,50,21.45609
-13.894721,50,21.487256
-13.104798,50,21.690693
-16.963731,50,21.723283
-15.457086,50,21.754283
-18.432899,50,21.785094
-19.71543,50,21.817208
-15.834265,50,21.848172
-16.231335,50,22.407641
-14.52739,50,22.43851
-16.27144,50,22.469842
-17.867788,50,22.500813
-16.265468,50,22.533172
-14.184447,50,22.565788
-16.363945,50,22.597214
-13.02615,50,22.629098
-18.294648,50,22.66038
-15.55067,50,22.692324
-12.418483,50,23.267601
-14.69328,50,23.298476
-14.760745,50,23.330582
-13.778909,50,23.361703
-13.070662,50,23.392639
-16.296057,50,23.424486
-13.906895,50,23.455112
-18.442961,50,23.485831
-15.834911,50,23.518279
-13.591165,50,23.548989
-11.700933,50,24.126926
-15.237634,50,24.157736
-14.033375,50,24.188333
-11.372376,50,24.219154
-15.176119,50,24.251066
-13.495797,50,24.281898
-16.732045,50,24.313206
-15.369883,50,24.345243
-14.866568,50,24.37588
-15.244691,50,24.406871
-12.31287,50,24.984305
-16.147179,50,25.015055
-16.743087,50,25.046811
-14.527202,50,25.077781
-14.059088,50,25.108833
-14.51633,50,25.141438
-17.6409,50,25.172275
-12.908302,50,25.203201
-18.420367,50,25.235511
-18.010291,50,25.266414
-12.484302,50,25.844066
-12.637045,50,25.876201
-17.862884,50,25.907228
-16.574907,50,25.93834
-14.364178,50,25.970544
-12.030843,50,26.001393
-18.635893,50,26.032765
-18.678847,50,26.064522
-17.875334,50,26.09651
-14.149412,50,26.12734
-11.469401,50,26.159305
-11.902679,50,26.725088
-13.83735,50,26.757058
-9.779176,50,26.788048
-11.471774,50,26.819223
-15.855325,50,26.851196
-14.513656,50,26.881949
-14.696736,50,26.91356
-10.789642,50,26.944522
-13.888134,50,26.976476
-18.095814,50,27.007315
-11.521218,50,27.578624
-16.828237,50,27.609717
-14.312358,50,27.640443
-14.097989,50,27.672325
-8.98947,50,27.703395
-13.283501,50,27.734972
-11.603275,50,27.767037
-10.016157,50,27.79787
-11.619698,50,27.829132
-12.938455,50,27.860918
-17.2361,50,28.437523
-14.271034,50,28.469586
-11.025494,50,28.500434
-12.290671,50,28.531448
-10.912487,50,28.562151
-12.331115,50,28.594356
-14.705582,50,28.625208
-12.661455,50,28.656562
-10.147963,50,28.688631
-8.723417,50,28.719565
-11.432533,50,29.297234
-11.269887,50,29.328567
-8.938404,50,29.359542
-11.939145,50,29.391376
-14.090739,50,29.422036
-9.600797,50,29.45338
-14.921565,50,29.485245
-14.613598,50,29.516359
-12.676969,50,29.54763
-9.146707,50,29.578914
-12.945766,50,29.611514
-11.533408,50,30.190816
-12.518009,50,30.221885
-8.209866,50,30.252765
-9.272922,50,30.283908
-11.753764,50,30.316156
-10.083802,50,30.347027
-12.845102,50,30.378259
-12.74585,50,30.410832
-11.123884,50,30.4423
-15.267757,50,30.473267
-12.615686,50,31.052132
-14.032104,50,31.083053
-13.548987,50,31.115686
-11.982746,50,31.147243
-12.314986,50,31.178698
-9.153914,50,31.210808
-8.882592,50,31.241903
-11.921533,50,31.272777
-9.24045,50,31.305059
-10.070914,50,31.335763
-12.37976,50,31.890179
-10.516989,50,31.922513
-11.484198,50,31.953993
-13.17803,50,31.984941
-14.401612,50,32.0169
-16.36725,50,32.047955
-13.83413,50,32.078992
-11.174047,50,32.111044
-11.315004,50,32.141843
-10.818588,50,32.172699
-14.013773,50,32.726369
-8.236089,50,32.757627
-16.943943,50,32.789076
-10.295643,50,32.821493
-16.352129,50,32.85243
-12.960776,50,32.883685
-9.269632,50,32.915118
-16.007566,50,32.947299
-14.504706,50,32.978813
-11.877693,50,33.009731
-14.878184,50,33.042112
-8.454936,50,33.599348
-9.806913,50,33.631867
-10.087212,50,33.663333
-13.747812,50,33.694342
-11.276694,50,33.725478
-11.112646,50,33.758019
-9.788575,50,33.789473
-11.273759,50,33.820682
-8.604175,50,33.853062
-8.200698,50,33.884142
-10.653555,50,34.441179
-10.961619,50,34.472062
-15.072921,50,34.502768
-10.619658,50,34.533666
-10.221425,50,34.565994
-8.242865,50,34.597302
-11.095833,50,34.6283
-14.951958,50,34.660281
-14.904699,50,34.691631
-10.77768,50,34.722566
-8.386718,50,35.282297
-10.269951,50,35.312903
-10.869751,50,35.343645
-9.180974,50,35.376832
-12.136023,50,35.408477
-10.369051,50,35.439667
-15.570683,50,35.471715
-12.964439,50,35.502542
-14.735006,50,35.533949
-8.36446,50,35.566122
-8.979732,50,36.124523
-7.745314,50,36.156735
-8.553725,50,36.187698
-8.519804,50,36.218784
-14.089178,50,36.249645
-8.51792,50,36.281537
-13.482195,50,36.312924
-13.974422,50,36.343738
-16.408428,50,36.375938
-13.081028,50,36.4071
-15.921421,50,36.438457
-14.335015,50,36.993408
-10.105801,50,37.024482
-6.981744,50,37.055173
-9.592964,50,37.086945
-9.784123,50,37.117732
-12.514661,50,37.148746
-11.317865,50,37.180642
-7.885699,50,37.211738
-6.891964,50,37.243493
-7.146133,50,37.275357
-14.660206,50,37.827083
-15.907973,50,37.85833
-12.857952,50,37.89004
-8.70174,50,37.92099
-6.656372,50,37.952451
-9.343771,50,37.984535
-8.247834,50,38.015559
-12.762385,50,38.046946
-15.112831,50,38.079014
-9.107791,50,38.109815
-10.404186,50,38.666077
-16.141273,50,38.698249
-7.863699,50,38.729328
-9.886656,50,38.760807
-14.017062,50,38.79315
-8.000423,50,38.824337
-9.037338,50,38.855701
-9.827987,50,38.888665
-8.117403,50,38.920266
-8.760116,50,38.952375
-7.56291,50,39.522507
-8.337418,50,39.553452
-8.388162,50,39.584349
-7.694885,50,39.616612
-8.068467,50,39.64836
-15.025677,50,39.679607
-11.997363,50,39.711624
-11.421057,50,39.74299
-10.692045,50,39.774122
-10.799833,50,39.806449
-8.092461,50,39.83726
-7.508813,50,40.421408
-7.693901,50,40.452748
-9.330671,50,40.483545
-9.063864,50,40.51544
-6.697122,50,40.546583
-15.435346,50,40.577231
-9.57085,50,40.609005
-10.577334,50,40.639788
-15.936533,50,40.671021
-7.628403,50,40.702306
-8.061937,50,41.275907
-11.820188,50,41.307643
-15.13603,50,41.339938
-10.965448,50,41.370893
-5.99935,50,41.401829
-14.209793,50,41.434256
-5.615733,50,41.465081
-14.068495,50,41.496527
-13.819759,50,41.528378
-6.243508,50,41.559632
-10.16223,50,42.151339
-8.102911,50,42.183739
-9.555196,50,42.215475
-7.500725,50,42.24828
-11.722795,50,42.2803
-9.407549,50,42.312493
-6.676692,50,42.345187
-13.749028,50,42.376899
-9.174844,50,42.408849
-8.902793,50,42.617169
-7.83215,50,43.184377
-7.845244,50,43.215151
-10.210667,50,43.247033
-12.861195,50,43.277892
-9.659152,50,43.309151
-11.685495,50,43.340942
-11.353569,50,43.372476
-10.690497,50,43.403841
-10.520773,50,43.43639
-11.717688,50,43.467407
-12.771541,50,43.498716
-11.09786,50,44.078955
-11.954348,50,44.109999
-6.764893,50,44.141252
-9.145462,50,44.174163
-14.432894,50,44.205606
-13.298693,50,44.236659
-13.241506,50,44.269267
-9.239298,50,44.300918
-10.510208,50,44.332239
-6.957707,50,44.364323
-6.229667,50,44.927735
-12.297643,50,44.960043
-8.96302,50,44.991261
-6.065028,50,45.022547
-8.229155,50,45.054955
-8.017277,50,45.085917
-7.766969,50,45.117038
-13.930945,50,45.148326
-7.059934,50,45.180493
-6.375359,50,45.211632
-11.116726,50,45.782466
-11.523092,50,45.813781
-10.266587,50,45.845514
-9.275549,50,45.878407
-8.481703,50,45.910243
-12.251125,50,45.941989
-12.846502,50,45.974478
-11.62235,50,46.005776
-9.848536,50,46.037556
-11.475055,50,46.069867
-7.723579,50,46.65039
-13.287093,50,46.683237
-13.852335,50,46.714132
-8.112639,50,46.745592
-8.216421,50,46.777985
-14.190022,50,46.808966
-9.955227,50,46.84063
-11.13814,50,46.872502
