#{"t_start": 1784446208.7206545, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-60.169313,50,0.845717
-56.255615,50,0.87801
-56.832211,50,0.907955
-59.589354,50,0.938326
-51.936413,50,0.968507
-62.464201,50,1.000152
-57.577292,50,1.030766
-59.638636,50,1.060877
-59.541023,50,1.091998
-71.410785,50,1.122564
-62.75532,50,1.874561
-55.934541,50,1.905833
-60.275502,50,1.936147
-53.655707,50,1.966441
-55.710866,50,1.997947
-59.888509,50,2.028435
-54.713085,50,2.059273
-55.782172,50,2.091094
-56.70625,50,2.121849
-50.252445,50,2.152468
-62.091014,50,2.710577
-57.660162,50,2.740981
-57.395496,50,2.771584
-57.745231,50,2.802941
-56.656449,50,2.833436
-58.245332,50,2.864076
-57.730849,50,2.89444
-52.063208,50,2.930051
-62.341458,50,2.960905
-63.230774,50,2.991392
-64.716855,50,3.54479
-47.654719,50,3.575683
-55.527969,50,3.607442
-55.356975,50,3.638231
-58.454819,50,3.6694
-52.529217,50,3.700322
-67.583448,50,3.732171
-64.298123,50,3.763434
-56.888837,50,3.79427
-51.489001,50,3.82599
-51.22701,50,4.376758
-59.018844,50,4.407353
-57.638466,50,4.438835
-58.37943,50,4.469119
-55.264256,50,4.499481
-49.569626,50,4.53111
-49.205695,50,4.562009
-52.776928,50,4.592461
-53.062312,50,4.623662
-55.944734,50,4.654379
-56.600143,50,4.685507
-58.367649,50,5.238082
-56.987862,50,5.269189
-56.9948,50,5.300402
-53.849153,50,5.331701
-60.708707,50,5.362544
-53.497475,50,5.392995
-48.366202,50,5.423525
-56.295823,50,5.455541
-47.939697,50,5.485481
-57.440419,50,5.516002
-52.779408,50,6.073097
-57.981414,50,6.103719
-48.923383,50,6.135539
-55.116497,50,6.166177
-60.462849,50,6.19715
-56.266295,50,6.227804
-58.86085,50,6.259359
-51.093513,50,6.290333
-51.099617,50,6.321353
-49.836963,50,6.352861
-52.206595,50,6.908106
-42.789327,50,6.938673
-50.987597,50,6.970323
-49.791462,50,7.001137
-43.952772,50,7.0318
-49.191181,50,7.064019
-51.637066,50,7.095302
-47.989497,50,7.126906
-40.875536,50,7.158718
-57.28942,50,7.189019
-47.004856,50,7.744577
-49.436659,50,7.776434
-44.015448,50,7.808925
-53.919103,50,7.839856
-48.587681,50,7.871945
-45.043749,50,7.90314
-49.776388,50,7.93399
-45.189129,50,7.965705
-50.537665,50,7.996127
-44.179145,50,8.026841
-37.302365,50,8.058636
-43.218373,50,8.607178
-42.591319,50,8.63823
-42.615032,50,8.670435
-41.200487,50,8.701851
