#{"t_start": 1784446208.7240992, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-20.502009,50,20.734786
-16.890521,50,20.766119
-13.229354,50,20.79843
-13.854371,50,21.363047
-16.49112,50,21.395107
-15.121692,50,21.426186
-19.157239,50,21.457673
-16.794261,50,21.488831
-15.001262,50,21.692264
-14.320606,50,21.724858
-13.972138,50,21.755859
-18.112116,50,21.786669
-14.593435,50,21.818778
-19.051848,50,21.849748
-16.209725,50,22.409211
-16.269514,50,22.440089
-15.641504,50,22.471417
-13.938746,50,22.502391
-23.336884,50,22.534752
-15.369677,50,22.567364
-11.628484,50,22.598793
-13.635044,50,22.630681
-21.912455,50,22.66196
-13.731674,50,22.6939
-16.227671,50,23.269176
-17.445463,50,23.300054
-14.4876,50,23.33215
-14.910731,50,23.36328
-15.523998,50,23.394218
-13.92237,50,23.426054
-16.549647,50,23.456685
-13.942288,50,23.487411
-14.22768,50,23.519849
-14.868932,50,23.550568
-14.941073,50,24.128484
-11.947475,50,24.159312
-16.008778,50,24.189904
-17.701527,50,24.220721
-12.36089,50,24.252647
-12.093777,50,24.283473
-13.966797,50,24.314785
-10.330202,50,24.346812
-16.914391,50,24.377453
-13.32347,50,24.408436
-14.889786,50,24.985885
-13.576111,50,25.016636
-11.53051,50,25.048379
-12.262786,50,25.079358
-13.30476,50,25.110412
-14.573431,50,25.143009
-14.557685,50,25.17385
-14.242925,50,25.20477
-17.989603,50,25.237091
-13.946221,50,25.267984
-15.288284,50,25.845628
-12.054812,50,25.877779
-13.649536,50,25.908807
-11.00711,50,25.939916
-12.429314,50,25.972124
-13.728794,50,26.002965
-19.125289,50,26.034344
-12.582749,50,26.066102
-15.452123,50,26.098079
-11.540369,50,26.128912
-10.374454,50,26.160877
-12.617817,50,26.726662
-11.430751,50,26.758631
-10.675022,50,26.789618
-8.856077,50,26.820799
-15.694382,50,26.852778
-11.125718,50,26.88351
-13.549732,50,26.915139
-10.257131,50,26.946095
-12.370249,50,26.978048
-17.245201,50,27.008894
-11.251888,50,27.580194
-18.210983,50,27.611285
-12.078818,50,27.642017
-16.365845,50,27.673904
-11.774963,50,27.704964
-14.263051,50,27.736536
-16.388638,50,27.768604
-13.49216,50,27.799444
-15.036227,50,27.830708
-14.436374,50,27.862478
-14.12833,50,28.43909
-16.097153,50,28.471158
-14.993992,50,28.502004
-10.992801,50,28.53302
-11.633677,50,28.563731
-12.585414,50,28.595921
-14.221573,50,28.626781
-14.973688,50,28.658141
-9.126797,50,28.690212
-10.91363,50,28.721144
-10.360618,50,29.298812
-11.362504,50,29.330145
-13.504233,50,29.361122
-12.178505,50,29.392953
-11.057573,50,29.423617
-14.128891,50,29.454957
-14.349527,50,29.486817
-12.252122,50,29.517929
-12.024678,50,29.549204
-12.463668,50,29.580474
-9.542272,50,29.613087
-12.410812,50,30.192391
-11.588712,50,30.223455
-15.9816,50,30.254342
-9.127779,50,30.285481
-11.221727,50,30.317733
-16.490087,50,30.348604
-16.950031,50,30.37984
-7.926049,50,30.41241
-15.323313,50,30.443878
-9.755049,50,30.474847
-9.409982,50,31.053701
-10.858655,50,31.084631
-9.574312,50,31.117264
-14.722376,50,31.148818
-10.346005,50,31.180269
-13.844541,50,31.212382
-12.698258,50,31.243466
-13.58726,50,31.274357
-12.745999,50,31.30664
-15.260961,50,31.337335
-12.579406,50,31.891756
-8.591233,50,31.92409
-12.203063,50,31.955518
-16.742634,50,31.986511
-11.085342,50,32.018466
-8.296576,50,32.049533
-10.085167,50,32.080568
-10.079232,50,32.112622
-9.145352,50,32.143425
-11.923036,50,32.174285
-14.965072,50,32.72794
-16.836004,50,32.759206
-8.003654,50,32.790656
-12.249017,50,32.823065
-9.540093,50,32.854011
-12.021229,50,32.885258
-13.504322,50,32.916683
-13.965016,50,32.94888
-9.678879,50,32.980389
-7.392145,50,33.011311
-8.631931,50,33.043692
-11.707778,50,33.600916
-11.116075,50,33.633444
-10.043148,50,33.66491
-13.484339,50,33.695918
-9.891414,50,33.727059
-11.276635,50,33.759597
-8.301327,50,33.791041
-10.763021,50,33.822251
