#{"t_start": 1784446208.7224262, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-60.489475,50,0.844097
-65.882428,50,0.876348
-60.793119,50,0.906286
-61.678333,50,0.936684
-64.074456,50,0.966851
-70.599672,50,0.998496
-58.387211,50,1.029117
-56.801322,50,1.059226
-68.048271,50,1.090338
-64.247205,50,1.120915
-68.66634,50,1.872923
-61.62451,50,1.904177
-57.846583,50,1.934474
-65.591689,50,1.964767
-63.391482,50,1.996294
-59.303334,50,2.026786
-59.659567,50,2.057628
-55.104778,50,2.089436
-55.523763,50,2.12019
-62.899661,50,2.15081
-59.841689,50,2.708929
-57.762553,50,2.739311
-54.302575,50,2.769933
-56.341983,50,2.80129
-64.022583,50,2.83178
-58.093931,50,2.862442
-67.801544,50,2.892786
-54.139807,50,2.928394
-61.469358,50,2.959273
-56.04878,50,2.989738
-52.472872,50,3.543158
-60.810934,50,3.574032
-54.279314,50,3.605783
-61.750325,50,3.636596
-61.944737,50,3.667762
-58.47997,50,3.698672
-57.033957,50,3.730534
-59.197211,50,3.761788
-55.310661,50,3.792617
-63.556486,50,3.82434
-56.401182,50,4.375121
-50.178082,50,4.405701
-54.134866,50,4.437176
-60.9478,50,4.46746
-59.368583,50,4.497845
-56.989718,50,4.529451
-54.435367,50,4.560373
-64.992741,50,4.590813
-63.427129,50,4.622003
-55.11777,50,4.652735
-56.550772,50,4.683884
-54.107072,50,5.236443
-49.57628,50,5.267547
-53.699042,50,5.298743
-54.588855,50,5.330056
-46.457397,50,5.360906
-58.276555,50,5.391373
-49.862788,50,5.423022
-55.073984,50,5.453889
-58.253926,50,5.483821
-53.546489,50,5.514356
-44.428413,50,6.071455
-51.528641,50,6.102074
-54.315991,50,6.133883
-46.444408,50,6.164515
-53.44159,50,6.195512
-43.173168,50,6.226153
-52.311167,50,6.257704
-51.12748,50,6.288677
-51.356529,50,6.319721
-57.938242,50,6.351203
-55.022052,50,6.906466
-49.388925,50,6.937015
-42.899153,50,6.968671
-41.213875,50,6.999485
-48.943187,50,7.030135
-46.809888,50,7.06236
-49.881908,50,7.09367
-50.056965,50,7.125257
-56.508679,50,7.157048
-45.219833,50,7.18736
-40.926921,50,7.742942
-48.008107,50,7.774765
-40.612226,50,7.807284
-42.664599,50,7.838185
-48.137871,50,7.870289
-53.934803,50,7.901502
-50.669122,50,7.932342
-38.965233,50,7.964051
-46.137145,50,7.994463
-46.038227,50,8.025204
-48.663751,50,8.056971
-39.415031,50,8.605539
-36.637943,50,8.636564
-46.691993,50,8.66878
-39.051823,50,8.700214
-51.451412,50,8.730916
-49.281863,50,8.76326
-43.661065,50,8.794327
-49.583015,50,8.825266
-43.009526,50,8.855891
-44.200303,50,8.887467
-41.847228,50,9.442557
-38.614243,50,9.474405
-42.218764,50,9.50571
-43.940704,50,9.535446
-38.321366,50,9.565145
-43.470105,50,9.596581
-41.588344,50,9.627103
-33.858491,50,9.658077
-38.343857,50,9.690674
-39.996139,50,9.721949
-41.488239,50,10.280363
-32.129157,50,10.311399
-33.531532,50,10.341939
-40.885302,50,10.372787
-32.53624,50,10.404979
-33.208581,50,10.437232
-40.59933,50,10.468411
-29.911441,50,10.500274
-36.729605,50,10.531173
-40.465767,50,10.562315
